Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
03/04/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
03/05/2020,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,3,3,0,0,0,3,3,0,0
06/23/2020,234,8,26,12,72,43,37,27,17,17,9,0,117,116,1,100,8,46,59,4,17,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,0,3,2,5,4,4,3,5,0,17,9,0,11,0,9,4,1,1
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
10/22/2020,"1,305",4,67,146,330,307,214,137,92,53,26,0,682,620,3,544,33,199,347,44,138,0,0,1,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,5,6,8,14,9,9,16,0,42,25,0,25,1,20,15,5,1
03/10/2020,11,0,5,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,3,0,0,0,4,0,1,0
03/11/2020,13,0,7,0,4,1,3,3,2,0,0,0,4,9,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,4,3,0,1,0,5,1,0,0
09/16/2021,473,7,32,95,113,114,54,49,24,21,3,0,249,222,2,84,21,129,154,30,55,0,0,1,1,1,3,0,1,0,2,5,0,3,0,3,1,0,0,0,2,5,2,8,8,6,1,0,16,16,0,6,0,18,7,1,0
03/14/2020,31,0,9,0,9,2,7,6,3,3,1,0,18,13,0,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,7,2,0,2,0,4,3,0,0
02/07/2021,212,8,38,23,48,46,30,31,14,13,7,0,111,99,2,60,11,44,70,14,13,0,0,0,0,1,1,4,2,0,3,5,0,1,1,4,2,0,0,1,6,4,3,7,5,7,5,0,20,18,0,9,1,16,10,1,1
02/16/2021,213,5,34,24,65,30,43,22,17,8,4,0,113,99,1,49,10,40,80,10,24,0,0,0,0,0,1,3,1,0,1,4,0,2,0,2,1,0,0,0,2,3,4,7,7,6,5,0,24,10,0,7,1,16,8,1,1
06/17/2020,219,21,29,18,57,33,32,30,23,13,13,0,110,109,0,109,3,50,40,4,13,0,0,0,1,3,7,5,5,0,11,10,0,9,1,7,4,0,0,1,2,3,2,3,6,5,7,0,17,12,0,6,1,18,4,0,0
02/22/2021,389,8,28,53,90,84,57,54,32,11,8,0,199,190,0,155,13,67,108,11,35,0,0,0,2,2,1,2,1,0,4,4,0,4,0,4,0,0,0,0,1,2,4,4,9,1,7,0,11,17,0,10,0,11,7,0,0
10/07/2021,382,4,17,82,86,86,48,36,30,11,3,0,206,176,0,80,12,89,130,29,42,0,0,0,0,0,1,1,2,0,2,2,0,0,0,2,2,0,0,0,1,0,3,2,7,2,2,0,12,5,0,3,0,8,5,1,0
04/21/2020,875,36,171,20,148,164,160,154,109,56,64,0,439,436,0,416,13,223,136,30,57,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,16,34,37,34,34,0,73,98,0,57,4,71,29,8,2
10/06/2020,560,2,29,61,176,105,93,71,32,17,5,0,294,265,1,226,15,72,182,17,48,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,5,5,5,4,5,3,1,0,10,19,0,11,1,8,7,1,1
11/29/2021,"1,469",7,75,372,285,291,200,178,98,33,12,0,737,721,11,271,46,281,467,154,250,0,1,0,1,0,1,1,3,0,5,2,0,2,1,3,1,0,0,2,4,4,10,18,10,18,9,0,40,35,0,15,2,35,16,3,4
12/01/2021,"1,213",6,66,293,292,223,171,95,73,43,23,0,653,550,10,211,36,279,319,139,229,0,0,1,0,1,3,1,0,0,2,4,0,0,0,3,2,0,1,2,9,3,2,11,9,18,12,0,38,28,0,13,0,27,20,5,1
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,38,1,28,7,6,12,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,10,1,2,1
08/14/2020,347,3,26,54,86,64,59,40,26,10,8,0,179,165,3,145,5,73,92,11,21,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,1,1,2,3,3,7,5,4,0,14,12,0,5,0,16,5,0,0
06/19/2021,30,2,5,6,11,5,1,2,1,4,0,0,18,12,0,11,2,6,8,1,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,4,1,0,0,0,0
06/05/2020,338,17,42,33,76,70,50,51,30,18,10,0,173,165,0,198,5,59,35,11,30,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,6,9,3,0,20,22,0,18,0,15,4,2,3
07/13/2021,102,2,12,15,22,31,10,10,6,6,2,0,49,50,3,24,2,34,26,2,14,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,4,2,1,1,1,3,0,0,7,5,0,4,1,6,1,0,0
07/08/2021,75,0,5,13,29,16,5,6,3,3,0,0,42,33,0,16,1,22,22,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,3,2,0,1,0,4,0,0,0
05/16/2021,155,10,33,23,34,30,22,17,14,8,7,0,85,70,0,35,2,69,29,6,14,0,0,1,1,0,3,3,2,0,4,6,0,6,2,2,0,0,0,1,3,10,5,2,6,3,3,0,20,13,0,5,0,20,4,1,3
08/24/2021,570,3,35,116,158,123,64,45,27,25,11,1,295,273,2,108,19,156,168,15,104,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,1,0,0,0,3,4,3,7,8,5,5,0,21,14,0,1,1,20,9,1,3
12/21/2021,"5,934",9,136,800,"1,735","1,518",805,567,327,115,66,1,"3,201","2,656",77,805,212,"1,498","1,690",413,"1,316",0,0,0,1,1,1,3,3,0,3,6,0,2,0,5,2,0,0,12,19,16,12,21,19,23,14,0,65,71,0,23,3,71,29,3,7
02/18/2021,315,6,36,36,98,52,50,42,25,10,2,0,163,151,1,109,9,61,93,24,19,0,0,0,0,1,0,5,0,0,4,2,0,0,0,4,2,0,0,0,2,6,4,8,7,8,1,0,20,16,0,11,0,15,8,2,0
02/19/2021,319,7,32,46,83,63,41,43,13,16,14,0,164,154,1,97,13,61,89,21,38,0,0,0,1,0,1,3,2,0,2,5,0,1,0,5,1,0,0,0,3,5,2,3,5,3,11,0,15,17,0,7,2,16,5,0,2
04/07/2021,843,3,55,136,250,187,113,80,45,15,17,0,441,401,1,213,40,223,257,14,96,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,1,0,0,4,3,4,6,12,8,7,11,0,30,25,0,12,2,33,6,2,0
12/27/2020,613,24,92,49,139,114,84,94,70,37,26,0,327,281,5,160,30,109,219,29,66,0,0,0,1,3,6,4,10,0,11,13,0,4,1,10,9,0,0,0,3,4,7,25,18,17,18,0,42,50,0,21,4,41,21,1,4
09/04/2020,393,2,23,59,102,82,53,38,33,16,10,0,205,186,2,193,13,71,90,9,17,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,2,4,6,0,16,7,0,10,1,9,3,0,0
04/14/2020,666,33,166,16,102,121,122,126,78,51,50,0,356,310,0,259,26,216,103,25,37,0,1,2,1,3,5,9,12,0,11,22,0,8,2,13,10,0,0,3,7,13,19,37,30,29,28,0,71,95,0,58,3,70,27,7,1
02/28/2021,149,3,18,16,34,34,22,17,19,5,2,0,68,80,1,32,14,31,52,4,16,0,0,0,0,0,1,1,1,0,0,3,0,1,0,2,0,0,0,0,1,3,0,0,10,0,4,0,11,7,0,3,0,9,5,0,1
03/19/2020,184,2,36,5,34,47,35,25,18,18,2,0,87,97,0,22,10,79,64,6,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,7,9,6,10,1,0,16,20,0,4,1,23,7,1,0
09/11/2021,323,6,31,66,72,71,48,29,16,15,6,0,184,137,2,86,10,73,94,20,40,0,0,0,0,1,1,1,3,0,2,4,0,2,0,3,1,0,0,0,4,5,8,3,6,2,3,0,13,18,0,8,0,16,6,0,1
03/07/2021,174,4,12,16,43,39,33,24,11,5,3,0,84,90,0,48,16,28,62,11,9,0,0,0,0,1,1,0,2,0,2,2,0,0,0,2,2,0,0,1,0,2,1,2,0,3,3,0,6,6,0,9,1,1,1,0,0
08/27/2020,381,2,24,40,131,75,59,32,24,12,8,0,208,172,1,192,6,66,83,16,18,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,4,3,4,2,4,5,2,0,18,6,0,11,0,6,5,2,0
06/17/2021,35,2,6,7,7,10,3,3,4,1,0,0,17,18,0,12,1,8,10,2,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,3,1,0,0,0,5,1,0,4,0,1,1,0,0
11/12/2021,618,6,35,130,104,136,88,81,44,20,15,0,331,281,6,92,22,124,190,55,135,0,0,0,1,1,1,1,2,0,4,2,0,0,0,4,2,0,0,2,0,3,5,7,5,7,6,0,18,17,0,5,1,14,14,0,1
06/30/2020,265,3,26,25,92,59,39,24,15,5,6,0,135,129,1,113,3,56,63,4,26,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,2,4,3,3,3,5,2,4,0,13,13,0,11,1,9,5,0,0
09/26/2021,203,9,23,40,45,48,24,15,10,15,6,0,104,99,0,35,6,52,80,14,16,0,0,0,2,1,2,2,2,0,4,5,0,2,1,5,1,0,0,0,4,1,2,5,4,3,4,0,12,11,0,3,1,14,5,0,0
12/26/2021,"2,896",4,71,460,714,654,436,292,193,96,51,0,"1,592","1,279",25,583,108,815,741,159,490,0,0,0,0,0,3,1,0,0,1,3,0,0,0,2,2,0,0,5,6,8,7,18,10,10,7,0,39,31,1,9,1,38,17,3,3
07/19/2021,203,1,17,34,65,51,24,21,4,3,1,0,96,105,2,41,5,41,72,9,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,4,0,3,3,1,2,0,13,4,0,3,0,6,7,0,1
10/13/2021,359,4,25,84,86,65,47,33,29,9,6,0,181,177,1,54,23,89,129,30,34,0,0,1,0,1,1,0,1,0,3,1,0,1,0,3,0,0,0,1,3,6,4,3,4,3,1,0,20,5,0,6,1,14,2,1,1
03/17/2020,96,1,24,0,15,21,18,17,19,2,4,0,37,59,0,8,3,39,41,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,5,7,3,3,0,7,17,0,4,0,16,4,0,0
12/06/2020,708,27,91,72,160,128,111,99,72,48,18,0,374,332,2,222,28,152,202,20,84,0,0,0,2,2,3,8,12,0,11,16,0,9,3,7,6,1,1,2,7,5,8,12,18,18,21,0,47,44,0,28,1,36,22,3,1
12/23/2020,"1,221",21,95,140,289,221,193,166,118,62,32,0,634,582,5,474,51,250,274,53,119,0,0,0,2,2,5,5,7,0,6,15,0,8,1,5,7,0,0,1,3,4,4,15,20,26,22,0,43,52,0,23,7,34,27,3,1
04/09/2020,575,25,150,9,83,102,103,129,74,40,35,0,259,316,0,188,24,220,95,23,25,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,2,5,12,17,34,32,28,20,0,64,86,0,31,6,80,28,4,1
03/18/2020,162,1,39,2,31,32,40,23,18,11,5,0,80,82,0,19,8,65,63,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,5,8,10,9,5,0,13,26,0,5,3,24,7,0,0
03/23/2020,290,3,101,4,46,55,53,56,30,35,11,0,141,149,0,41,13,136,77,12,11,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,4,15,12,17,17,25,10,0,48,53,0,16,5,64,11,4,1
07/04/2021,17,1,4,5,2,6,1,0,0,2,1,0,9,8,0,3,2,6,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,3,1,0,0,0,2,1,1,0
11/04/2020,"2,512",8,96,303,707,562,365,289,173,84,29,0,"1,288","1,214",10,"1,027",74,401,688,81,241,0,0,0,0,0,1,2,5,0,5,3,0,5,0,1,2,0,0,4,5,4,9,25,16,24,9,0,49,47,0,33,1,36,23,3,0
05/19/2020,889,27,100,78,211,170,148,130,85,39,28,0,450,434,5,486,16,163,89,27,108,0,1,1,3,6,5,6,5,0,8,19,0,11,2,11,3,0,0,5,5,13,15,20,17,14,11,0,52,48,0,46,2,34,12,3,3
05/11/2020,"1,017",38,128,62,206,197,192,142,118,69,31,0,519,494,4,583,16,185,113,26,94,0,0,1,3,6,3,6,19,0,14,24,0,16,0,15,7,0,0,5,5,10,17,24,26,28,13,0,51,77,0,52,3,43,22,6,2
05/29/2020,460,20,50,33,115,70,85,75,42,18,22,0,249,207,4,227,10,114,42,17,50,0,0,0,1,3,5,6,5,0,11,9,0,7,0,11,1,1,0,3,0,4,7,11,9,8,8,0,31,19,0,12,1,26,9,1,1
09/13/2021,553,7,41,129,127,120,64,46,35,23,9,0,277,275,1,102,22,169,130,50,80,0,0,2,1,0,3,1,0,0,1,6,0,4,0,2,1,0,0,2,3,4,5,10,7,5,5,0,26,15,0,5,0,25,7,0,4
07/11/2020,154,2,19,8,68,23,22,13,12,8,0,0,79,75,0,38,4,46,40,10,16,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,7,1,2,1,3,4,1,0,8,11,0,4,1,13,1,0,0
11/27/2021,555,3,30,110,116,124,85,52,41,18,9,0,287,266,2,77,14,101,213,50,100,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,3,0,0,0,2,3,2,4,9,8,2,0,15,15,0,7,4,11,8,0,0
12/30/2020,"1,445",23,63,191,370,275,197,200,138,52,22,0,761,674,10,558,38,283,339,60,167,0,0,0,4,6,4,5,4,0,5,18,0,13,1,5,3,1,0,1,1,4,6,10,15,17,9,0,30,33,0,23,1,23,12,3,1
07/07/2020,341,4,25,35,107,69,55,44,19,8,4,0,184,156,1,107,12,97,82,11,32,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,4,6,3,0,9,16,0,4,2,13,4,1,1
03/20/2020,155,0,52,2,23,22,32,30,27,15,4,0,72,83,0,21,6,78,41,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,12,16,11,1,0,19,33,0,8,1,35,7,1,0
02/08/2021,386,13,53,47,74,65,61,54,44,19,22,0,207,178,1,120,19,94,102,17,34,0,0,2,2,2,2,3,2,0,6,7,0,5,1,2,5,0,0,1,7,7,3,7,3,13,12,0,31,22,0,12,0,19,18,3,1
06/13/2021,28,5,5,5,3,10,4,3,2,1,0,0,18,10,0,5,0,17,3,0,3,0,0,2,0,2,1,0,0,0,0,5,0,3,0,1,1,0,0,0,2,1,0,1,1,0,0,0,5,0,0,2,0,2,1,0,0
01/04/2021,"1,875",10,86,229,477,386,304,225,137,71,46,0,986,879,10,730,74,325,472,87,187,0,0,0,0,1,2,3,4,0,4,6,0,5,1,0,4,0,0,2,6,4,7,13,17,17,20,0,42,44,0,29,3,37,15,1,1
11/16/2020,"2,558",26,153,317,600,485,456,340,203,96,61,0,"1,326","1,222",10,"1,062",78,451,595,96,276,0,0,1,1,4,5,8,7,0,9,17,0,15,2,5,4,0,0,0,15,8,17,19,32,33,29,0,72,81,0,48,8,65,28,4,0
03/06/2020,3,0,2,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
07/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,234,209,3,188,8,104,102,15,29,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
12/22/2021,"5,905",13,102,855,"1,732","1,402",805,570,347,125,69,0,"3,288","2,571",46,846,198,"1,603","1,588",366,"1,304",0,0,0,0,1,2,3,7,0,6,7,0,1,0,6,5,0,1,8,11,18,17,12,12,9,15,0,58,44,0,18,2,55,23,2,2
07/25/2021,140,3,13,19,43,34,18,12,6,6,2,0,77,62,1,15,9,45,45,6,20,0,0,1,1,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,2,2,2,3,1,0,6,7,0,2,0,7,3,0,1
12/18/2021,"2,367",9,90,378,706,558,326,200,115,63,21,0,"1,274","1,073",20,298,94,668,653,170,484,0,0,0,0,1,5,2,1,0,1,8,0,2,0,4,3,0,0,7,10,10,12,10,21,16,4,0,45,45,0,17,1,54,13,1,4
08/26/2020,389,3,34,48,126,82,45,44,23,12,9,0,196,192,1,198,7,42,103,16,23,0,0,0,1,0,0,1,1,0,0,3,0,1,0,1,1,0,0,1,4,3,3,8,5,5,5,0,20,14,0,16,1,6,6,4,1
12/04/2020,"1,855",32,104,240,408,341,306,272,158,85,45,0,937,910,8,708,72,344,423,77,231,0,0,1,1,4,4,7,15,0,14,18,0,16,1,6,9,0,0,4,6,15,12,19,20,16,12,0,49,55,0,33,4,45,16,4,2
05/04/2020,"1,122",48,127,57,218,224,244,177,109,53,40,0,564,557,1,610,31,206,121,34,120,0,1,0,0,4,10,15,18,0,23,25,0,17,2,20,9,0,0,1,10,8,14,16,26,31,21,0,56,71,0,44,9,48,16,9,1
09/09/2021,518,4,39,116,142,106,53,45,33,14,9,0,276,240,2,86,16,147,160,26,83,0,0,0,0,0,1,3,0,0,1,3,0,1,0,0,2,0,1,2,4,7,7,1,6,5,7,0,18,21,0,7,0,23,7,1,1
08/28/2020,382,4,25,66,109,61,50,47,29,15,5,0,184,198,0,173,12,70,91,12,24,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,2,1,8,2,3,4,4,0,13,12,0,9,0,11,4,1,0
